date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days,is_new_sku,sold_lag_1,sold_lag_7,sold_roll_mean_7,sold_roll_mean_14,sold_roll_mean_7_prev,demand_trend,day_of_week,days_of_cover,forecasted_demand,risk_flag
2026-06-29,SKU-1023,Flour,208.0,0,1325.0,7,False,198.0,209.0,222.42857142857144,218.78571428571428,215.14285714285717,7.285714285714278,0,6.187486907186499,214.14186726780298,stockout risk
2026-06-29,SKU-1009,Beverages,385.0,6616,9874.0,14,False,250.0,304.0,348.0,359.6428571428572,371.2857142857143,-23.28571428571428,0,28.422965214795973,347.3951407033335,ok
2026-06-29,SKU-1014,Snacks,245.0,0,1120.0,7,False,164.0,219.0,252.42857142857144,248.57142857142856,244.7142857142857,7.714285714285694,0,4.51200249228525,248.22681324201568,stockout risk
2026-06-29,SKU-1013,Pasta,472.0,0,4395.0,10,False,495.0,458.0,477.57142857142856,489.3571428571428,501.1428571428572,-23.57142857142861,0,8.903763043551127,493.61151891651457,stockout risk
2026-06-29,SKU-1010,Snacks,168.0,0,112.0,3,False,137.0,259.0,183.8571428571429,173.42857142857142,163.0,20.85714285714286,0,0.5622254005850987,199.2083599983982,stockout risk
2026-06-29,SKU-1012,Beverages,413.0,0,10771.0,14,False,391.0,420.0,405.0,410.7857142857143,416.57142857142856,-11.571428571428555,0,26.21519918374369,410.868516561919,ok
2026-06-29,SKU-1008,Sugar,97.0,0,292.0,5,False,82.0,67.0,84.71428571428571,84.21428571428571,83.71428571428571,1.0,0,3.03349241694478,96.25868796273157,stockout risk
2026-06-29,SKU-1015,Pasta,345.0,0,2957.0,7,False,447.0,359.0,361.4285714285714,354.2857142857143,347.1428571428572,14.285714285714278,0,7.143728761795798,413.9294895704671,ok
2026-06-29,SKU-1017,Beverages,243.0,1191,1691.0,3,False,347.0,243.0,314.0,312.07142857142856,310.1428571428572,3.857142857142833,0,5.498507843883747,307.53798085074664,ok
2026-06-29,SKU-1016,Snacks,218.0,0,4620.0,14,False,224.0,215.0,267.0,245.3571428571429,223.7142857142857,43.28571428571428,0,18.160247475592264,254.40181948012395,ok
2026-06-29,SKU-1006,Sugar,398.0,0,10779.0,10,False,367.0,407.0,495.7142857142857,471.0,446.2857142857143,49.428571428571445,0,23.09956408922454,466.63218225092726,ok
2026-06-29,SKU-1005,Pasta,83.0,0,1303.0,10,False,77.0,86.0,89.28571428571429,100.28571428571428,111.28571428571428,-22.0,0,12.417144591655012,104.93555828251256,ok
2026-06-29,SKU-1011,Sugar,164.0,0,3373.0,14,False,136.0,220.0,171.85714285714286,164.07142857142858,156.28571428571428,15.571428571428584,0,17.266315896193298,195.35145889133446,ok
2026-06-29,SKU-1018,Flour,213.0,0,3476.0,14,False,192.0,340.0,286.7142857142857,303.0,319.2857142857143,-32.571428571428555,0,11.574681475225974,300.3106398599308,stockout risk
2026-06-29,SKU-1004,Beverages,144.0,1645,2895.0,7,False,155.0,177.0,179.71428571428572,170.85714285714286,162.0,17.714285714285722,0,14.68530813650902,197.13580219694302,ok
2026-06-29,SKU-1019,Snacks,252.0,0,8732.0,14,False,403.0,592.0,597.1428571428571,607.0,616.8571428571429,-19.71428571428578,0,14.570593331085904,599.2892534699017,ok
2026-06-29,SKU-1003,Beverages,159.0,0,3047.0,7,False,155.0,205.0,208.8571428571429,197.2142857142857,185.57142857142856,23.28571428571428,0,14.895539624575667,204.5578795260867,ok
2026-06-29,SKU-1020,Pasta,425.0,0,5757.0,14,False,420.0,367.0,423.1428571428572,466.0,508.8571428571428,-85.71428571428567,0,12.165566717810899,473.2208645546706,stockout risk
2026-06-29,SKU-1002,Sugar,238.0,897,659.0,3,False,209.0,235.0,251.42857142857144,261.07142857142856,270.7142857142857,-19.285714285714302,0,2.5257341394293618,260.91423864147777,stockout risk
2026-06-29,SKU-1021,Beverages,439.0,3640,6481.0,10,False,238.0,333.0,346.42857142857144,391.9285714285714,437.4285714285714,-91.0,0,16.946936617876496,382.4289985933806,ok
2026-06-29,SKU-1001,Beverages,381.0,0,2232.0,5,False,409.0,410.0,412.4285714285714,430.9285714285714,449.4285714285714,-37.0,0,5.2152622312908266,427.97464461294385,ok
2026-06-29,SKU-1022,Snacks,279.0,0,235.0,3,False,146.0,217.0,178.0,184.0,190.0,-12.0,0,1.192071644932511,197.13580219694302,stockout risk
2026-06-29,SKU-1000,Snacks,116.0,0,0.0,7,False,151.0,103.0,103.85714285714286,100.71428571428572,97.57142857142856,6.285714285714292,0,0.0,107.24269494068395,stockout risk
2026-06-29,SKU-1007,Sugar,671.0,0,9613.0,14,False,489.0,418.0,532.7142857142857,520.5714285714286,508.4285714285714,24.28571428571422,0,19.89384968177083,483.21466954727225,ok
2026-06-29,SKU-1024,Flour,244.0,0,3289.0,7,False,203.0,121.0,202.0,250.2142857142857,298.42857142857144,-96.42857142857144,0,13.531635760152978,243.0600452374885,ok
