date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days,is_new_sku,sold_lag_1,sold_lag_7,sold_roll_mean_7,sold_roll_mean_14,sold_roll_mean_7_prev,demand_trend,day_of_week,days_of_cover
2026-01-01,SKU-1000,Snacks,110.0,0,403.0,7,False,,,,,,,3,
2026-01-02,SKU-1000,Snacks,278.0,0,125.0,7,False,110.0,,,,,,4,
2026-01-03,SKU-1000,Snacks,121.0,903,907.0,7,False,278.0,,,,,,5,
2026-01-04,SKU-1000,Snacks,75.0,0,832.0,7,False,121.0,,,,,,6,
2026-01-05,SKU-1000,Snacks,71.0,0,761.0,7,False,75.0,,,,,,0,
2026-01-06,SKU-1000,Snacks,103.0,0,658.0,7,False,71.0,,,,,,1,
2026-01-07,SKU-1000,Snacks,133.0,0,525.0,7,False,103.0,,,,,,2,
2026-01-08,SKU-1000,Snacks,106.0,0,419.0,7,False,133.0,110.0,127.28571428571429,,,,3,3.291806958473625
2026-01-09,SKU-1000,Snacks,112.0,0,307.0,7,False,106.0,278.0,126.71428571428571,,,,4,2.422773393461105
2026-01-10,SKU-1000,Snacks,142.0,761,926.0,7,False,112.0,121.0,103.0,,,,5,8.990291262135923
2026-01-11,SKU-1000,Snacks,14.0,0,912.0,7,False,142.0,75.0,106.0,,,,6,8.60377358490566
2026-01-12,SKU-1000,Snacks,71.0,0,841.0,7,False,14.0,71.0,97.28571428571429,,,,0,8.644640234948605
2026-01-13,SKU-1000,Snacks,132.0,0,709.0,7,False,71.0,103.0,97.28571428571429,,,,1,7.2878120411160054
2026-01-14,SKU-1000,Snacks,119.0,896,1486.0,7,False,132.0,133.0,101.42857142857143,,,,2,14.650704225352113
2026-01-15,SKU-1000,Snacks,143.0,0,1343.0,7,False,119.0,106.0,99.42857142857143,113.35714285714286,127.28571428571429,-27.85714285714286,3,13.507183908045977
2026-01-16,SKU-1000,Snacks,137.0,0,1206.0,7,False,143.0,112.0,104.71428571428571,115.71428571428571,126.71428571428571,-22.0,4,11.517053206002728
2026-01-17,SKU-1000,Snacks,78.0,0,1128.0,7,False,137.0,142.0,108.28571428571429,105.64285714285714,103.0,5.285714285714292,5,10.41688654353562
2026-01-18,SKU-1000,Snacks,122.0,0,1006.0,7,False,78.0,14.0,99.14285714285714,102.57142857142857,106.0,-6.857142857142861,6,10.146974063400577
2026-01-19,SKU-1000,Snacks,71.0,0,935.0,7,False,122.0,71.0,114.57142857142857,105.92857142857143,97.28571428571429,17.285714285714278,0,8.160847880299253
2026-01-20,SKU-1000,Snacks,105.0,0,830.0,7,False,71.0,132.0,114.57142857142857,105.92857142857143,97.28571428571429,17.285714285714278,1,7.2443890274314215
2026-01-21,SKU-1000,Snacks,122.0,0,708.0,7,False,105.0,119.0,110.71428571428571,106.07142857142857,101.42857142857143,9.285714285714278,2,6.39483870967742
2026-01-22,SKU-1000,Snacks,82.0,0,626.0,7,False,122.0,143.0,111.14285714285714,105.28571428571429,99.42857142857143,11.714285714285708,3,5.632390745501286
2026-01-23,SKU-1000,Snacks,112.0,0,514.0,7,False,82.0,137.0,102.42857142857143,103.57142857142857,104.71428571428571,-2.2857142857142776,4,5.01813110181311
2026-01-24,SKU-1000,Snacks,124.0,0,390.0,7,False,112.0,78.0,98.85714285714286,103.57142857142857,108.28571428571429,-9.42857142857143,5,3.945086705202312
2026-01-25,SKU-1000,Snacks,83.0,1000,1307.0,7,False,124.0,122.0,105.42857142857143,102.28571428571429,99.14285714285714,6.285714285714292,6,12.397018970189702
2026-01-26,SKU-1000,Snacks,181.0,0,1126.0,7,False,83.0,71.0,99.85714285714286,107.21428571428571,114.57142857142857,-14.714285714285708,0,11.276108726752502
2026-01-27,SKU-1000,Snacks,116.0,0,1010.0,7,False,181.0,105.0,115.57142857142857,115.07142857142857,114.57142857142857,1.0,1,8.739184177997528
2026-01-28,SKU-1000,Snacks,79.0,0,931.0,7,False,116.0,122.0,117.14285714285714,113.92857142857143,110.71428571428571,6.428571428571431,2,7.947560975609757
2026-01-29,SKU-1000,Snacks,97.0,0,834.0,7,False,79.0,82.0,111.0,111.07142857142857,111.14285714285714,-0.1428571428571388,3,7.513513513513513
2026-01-30,SKU-1000,Snacks,90.0,0,744.0,7,False,97.0,112.0,113.14285714285714,107.78571428571429,102.42857142857143,10.714285714285708,4,6.575757575757576
2026-01-31,SKU-1000,Snacks,122.0,0,622.0,7,False,90.0,124.0,110.0,104.42857142857143,98.85714285714286,11.142857142857139,5,5.654545454545454
2026-02-01,SKU-1000,Snacks,76.0,0,546.0,7,False,122.0,83.0,109.71428571428571,107.57142857142857,105.42857142857143,4.285714285714278,6,4.9765625
2026-02-02,SKU-1000,Snacks,106.0,0,440.0,7,False,76.0,181.0,108.71428571428571,104.28571428571429,99.85714285714286,8.857142857142847,0,4.0473061760841
2026-02-03,SKU-1000,Snacks,106.0,0,334.0,7,False,106.0,116.0,98.0,106.78571428571429,115.57142857142857,-17.57142857142857,1,3.4081632653061225
2026-02-04,SKU-1000,Snacks,108.0,0,226.0,7,False,106.0,79.0,96.57142857142857,106.85714285714286,117.14285714285714,-20.57142857142857,2,2.3402366863905324
2026-02-05,SKU-1000,Snacks,92.0,0,134.0,7,False,108.0,97.0,100.71428571428571,105.85714285714286,111.0,-10.285714285714292,3,1.3304964539007094
2026-02-06,SKU-1000,Snacks,93.0,0,41.0,7,False,92.0,90.0,100.0,106.57142857142857,113.14285714285714,-13.142857142857139,4,0.41
2026-02-07,SKU-1000,Snacks,111.0,0,0.0,7,False,93.0,122.0,100.42857142857143,105.21428571428571,110.0,-9.57142857142857,5,0.0
2026-02-08,SKU-1000,Snacks,89.0,0,0.0,7,False,111.0,76.0,98.85714285714286,104.28571428571429,109.71428571428571,-10.857142857142847,6,0.0
2026-02-09,SKU-1000,Snacks,137.0,0,0.0,7,False,89.0,106.0,100.71428571428571,104.71428571428571,108.71428571428571,-8.0,0,0.0
2026-02-10,SKU-1000,Snacks,89.0,822,733.0,7,False,137.0,106.0,105.14285714285714,101.57142857142857,98.0,7.142857142857139,1,6.971467391304348
2026-02-11,SKU-1000,Snacks,133.0,1132,1732.0,7,False,89.0,108.0,102.71428571428571,99.64285714285714,96.57142857142857,6.142857142857139,2,16.862308762169683
2026-02-12,SKU-1000,Snacks,112.0,0,1620.0,7,False,133.0,92.0,106.28571428571429,103.5,100.71428571428571,5.571428571428584,3,15.241935483870966
2026-02-13,SKU-1000,Snacks,118.0,0,1502.0,7,False,112.0,93.0,109.14285714285714,104.57142857142857,100.0,9.142857142857139,4,13.761780104712042
2026-02-14,SKU-1000,Snacks,104.0,0,1502.0,7,False,118.0,111.0,112.71428571428571,106.57142857142857,100.42857142857143,12.285714285714278,5,13.325728770595692
2026-02-14,SKU-1000,Snacks,104.0,0,1502.0,7,False,104.0,89.0,111.71428571428571,105.28571428571429,98.85714285714286,12.857142857142847,5,13.445012787723785
2026-02-15,SKU-1000,Snacks,105.0,0,1293.0,7,False,104.0,137.0,113.85714285714286,107.28571428571429,100.71428571428571,13.142857142857153,6,11.35633626097867
2026-02-16,SKU-1000,Snacks,125.0,0,1168.0,7,False,105.0,89.0,109.28571428571429,107.21428571428571,105.14285714285714,4.142857142857153,0,10.687581699346405
2026-02-17,SKU-1000,Snacks,143.0,0,1025.0,7,False,125.0,133.0,114.42857142857143,108.57142857142857,102.71428571428571,11.714285714285722,1,8.957553058676654
2026-02-18,SKU-1000,Snacks,86.0,0,939.0,7,False,143.0,112.0,115.85714285714286,111.07142857142857,106.28571428571429,9.57142857142857,2,8.104808877928484
2026-02-19,SKU-1000,Snacks,81.0,0,858.0,7,False,86.0,118.0,112.14285714285714,110.64285714285714,109.14285714285714,3.0,3,7.650955414012739
2026-02-20,SKU-1000,Snacks,105.0,0,753.0,7,False,81.0,104.0,106.85714285714286,109.78571428571429,112.71428571428571,-5.857142857142847,4,7.0467914438502675
2026-02-21,SKU-1000,Snacks,92.0,0,661.0,7,False,105.0,104.0,107.0,109.35714285714286,111.71428571428571,-4.714285714285708,5,6.177570093457944
2026-02-22,SKU-1000,Snacks,113.0,978,1526.0,7,False,92.0,105.0,105.28571428571429,109.57142857142857,113.85714285714286,-8.57142857142857,6,14.493894165535956
2026-02-23,SKU-1000,Snacks,58.0,0,1468.0,7,False,113.0,125.0,106.42857142857143,107.85714285714286,109.28571428571429,-2.857142857142861,0,13.793288590604027
